para_id,para_mon,except_dep
399008,2017-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399008,2018-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399008,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399100,2014-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399100,2014-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399100,2014-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399100,2014-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399100,2015-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399100,2015-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399100,2015-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399100,2015-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399100,2016-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399100,2016-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399100,2016-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399100,2016-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399100,2017-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399100,2017-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399100,2017-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399100,2017-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399100,2018-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399100,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399101,2014-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399101,2014-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399101,2014-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399101,2014-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399101,2015-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399101,2015-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399101,2015-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399101,2015-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399101,2016-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399101,2016-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399101,2016-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399101,2016-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399101,2017-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399101,2017-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399101,2017-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399101,2017-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399101,2018-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399101,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399106,2014-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399106,2014-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399106,2014-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399106,2014-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399106,2015-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399106,2015-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399106,2015-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399106,2015-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399106,2016-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399106,2016-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399106,2016-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399106,2016-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399106,2017-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399106,2017-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399106,2017-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399106,2017-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399106,2018-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399106,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399107,2014-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399107,2014-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399107,2014-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399107,2014-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399107,2015-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399107,2015-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399107,2015-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399107,2015-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399107,2016-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399107,2016-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399107,2016-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399107,2016-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399107,2017-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399107,2017-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399107,2017-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399107,2017-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399107,2018-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399107,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399108,2014-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399108,2014-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399108,2014-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399108,2014-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399108,2015-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399108,2015-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399108,2015-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399108,2015-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399108,2016-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399108,2016-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399108,2016-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399108,2016-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399108,2017-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399108,2017-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399108,2017-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399108,2017-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399108,2018-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399108,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399333,2014-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399333,2014-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399333,2014-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399333,2014-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399333,2015-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399333,2015-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399333,2015-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399333,2015-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399333,2016-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399333,2016-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399333,2016-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399333,2016-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399333,2017-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399333,2017-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399333,2017-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399333,2017-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399333,2018-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
